,START,END,RISK_FLOW
0,17091011700,17091011700,3.1888788013553987e-06
1,17091011700,17091010800,1.2755515205421595e-05
2,17091011700,17091012100,4.942762142100868e-05
3,17091011700,17091012500,1.5944394006776988e-05
4,17091011700,17091011900,1.5944394006776988e-05
5,17091011700,17091010900,3.1888788013553987e-06
6,17091011700,17091010202,1.5944394006776988e-05
7,17091011700,17091010701,9.566636404066194e-06
8,17091011700,17031839100,3.1888788013553987e-06
9,17091011700,17091012000,6.377757602710797e-06
10,17091011700,17091010602,3.1888788013553987e-06
11,17091011700,17091010702,1.2755515205421595e-05
12,17091011700,17091010201,3.1888788013553987e-06
13,17091011700,17043844702,3.1888788013553987e-06
14,17091011700,17091012300,1.5944394006776988e-05
15,17091011700,17197883211,3.1888788013553987e-06
16,17091011800,17091011700,3.1888788013553987e-06
17,17091011800,17091011800,2.551103041084319e-05
18,17091011800,17091010800,6.377757602710797e-06
19,17091011800,17091012100,4.942762142100868e-05
20,17091011800,17091012200,3.1888788013553987e-06
21,17091011800,17091012500,2.232215160948779e-05
22,17091011800,17091011900,3.1888788013553987e-06
23,17091011800,17091010900,3.1888788013553987e-06
24,17091011800,17091011400,9.566636404066194e-06
25,17091011800,17031828402,3.1888788013553987e-06
26,17091011800,17091010202,6.377757602710797e-06
27,17091011800,17091010701,3.1888788013553987e-06
28,17091011800,17091011500,3.1888788013553987e-06
29,17091011800,17091012000,2.232215160948779e-05
30,17091011800,17091010602,6.377757602710797e-06
31,17091011800,17091010702,3.3483227414231683e-05
32,17091011800,17091012300,1.7538833407454695e-05
33,17091011800,17197883211,3.1888788013553987e-06
34,17119400951,17119400951,0.00015027000773285576
35,17119400951,17119403402,2.366456814690642e-06
36,17119400951,17119400200,7.099370444071927e-06
37,17119400951,17119400801,7.099370444071927e-06
38,17119400951,17119400802,9.465827258762567e-06
39,17119400951,17119403101,2.366456814690642e-06
40,17119400951,17119402900,3.5496852220359634e-06
41,17119400951,17031820902,2.366456814690642e-06
42,17119400951,17163504500,2.366456814690642e-06
43,17119400951,17163503414,2.366456814690642e-06
44,17119400951,17119401903,1.1832284073453211e-05
45,17119400951,17119403534,2.366456814690642e-06
46,17119400951,17119404000,8.164276010682715e-05
47,17119400951,17119400903,2.366456814690642e-06
48,17119400951,17119403121,2.366456814690642e-06
49,17119400951,17119401800,2.366456814690642e-06
50,17119400951,17119400700,4.732913629381284e-06
51,17119400951,17119400101,2.2481339739561103e-05
52,17119400951,17119403533,7.099370444071927e-06
53,17119400951,17119404100,2.366456814690642e-06
54,17119400951,17119400904,2.366456814690642e-06
55,17119400951,17163502100,2.366456814690642e-06
56,17119400951,17163502300,2.366456814690642e-06
57,17119400951,17119403001,1.301551248079853e-05
58,17119400951,17119403002,2.366456814690642e-06
59,17119400951,17119402600,2.366456814690642e-06
60,17119400952,17119400951,2.2481339739561103e-05
61,17119400952,17119400952,2.366456814690642e-06
62,17119400952,17119403531,2.366456814690642e-06
63,17119400952,17119400200,1.893165451752513e-05
64,17119400952,17119400801,3.5496852220359634e-06
65,17119400952,17119400802,4.732913629381284e-06
66,17119400952,17199021000,4.732913629381284e-06
67,17119400952,17029000400,2.366456814690642e-06
68,17119400952,17119401000,2.366456814690642e-06
69,17119400952,17119402400,2.366456814690642e-06
70,17119400952,17119403101,2.366456814690642e-06
71,17119400952,17119402900,3.5496852220359634e-06
72,17119400952,17119401903,1.301551248079853e-05
73,17119400952,17119403534,2.366456814690642e-06
74,17119400952,17119403604,2.366456814690642e-06
75,17119400952,17119404000,1.893165451752513e-05
76,17119400952,17119400903,2.366456814690642e-06
77,17119400952,17119403121,2.366456814690642e-06
78,17119400952,17163503904,2.366456814690642e-06
79,17119400952,17119400101,3.1947166998323655e-05
80,17119400952,17119403533,4.732913629381284e-06
81,17119400952,17119404100,5.916142036726606e-06
82,17119400952,17163502500,2.366456814690642e-06
83,17119400952,17119403001,1.7748426110179812e-05
84,17119400952,17119403002,2.366456814690642e-06
85,17119400952,17119403300,2.366456814690642e-06
86,17135957500,17135957500,1.8802659826881966e-05
87,17135957500,17135957700,1.1060388133459983e-06
88,17135957500,17135957900,1.1060388133459983e-06
89,17135957500,17021959000,2.2120776266919966e-06
90,17135957500,17021958700,1.6590582200189977e-06
91,17119401100,17119401100,3.4313623813014314e-05
92,17119401100,17119403531,2.366456814690642e-06
93,17119401100,17119400200,2.366456814690642e-06
94,17119401100,17119400801,4.732913629381284e-06
95,17119401100,17119402400,4.732913629381284e-06
96,17119401100,17119401300,2.8397481776287707e-05
97,17119401100,17119401721,2.366456814690642e-06
98,17119401100,17119402000,4.732913629381284e-06
99,17119401100,17119402701,2.366456814690642e-06
100,17119401100,17119402900,4.732913629381284e-06
101,17119401100,17163503414,2.366456814690642e-06
102,17119401100,17119401903,1.893165451752513e-05
103,17119401100,17119404000,2.366456814690642e-06
104,17119401100,17163502404,2.366456814690642e-06
105,17119401100,17119403121,4.732913629381284e-06
106,17119401100,17119402721,4.732913629381284e-06
107,17119401100,17119401800,2.366456814690642e-06
108,17119401100,17119400101,2.366456814690642e-06
109,17119401100,17119404100,2.366456814690642e-06
110,17119401100,17119403001,8.282598851417246e-06
111,17119401100,17119401901,5.916142036726606e-06
112,17119401100,17119402100,7.099370444071927e-06
113,17119401500,17119401722,2.366456814690642e-06
114,17119401500,17119400200,2.366456814690642e-06
115,17119401500,17119402400,1.0649055666107887e-05
116,17119401500,17119401300,7.099370444071927e-06
117,17119401500,17119402000,2.366456814690642e-06
118,17119401500,17119402701,2.366456814690642e-06
119,17119401500,17163503414,2.366456814690642e-06
120,17119401500,17119401903,2.366456814690642e-06
121,17119401500,17119402721,8.282598851417246e-06
122,17119401500,17119400101,4.732913629381284e-06
123,17119401500,17119403001,2.366456814690642e-06
124,17119401500,17119402600,1.5381969295489173e-05
125,17119401500,17119402100,9.465827258762567e-06
126,17119401722,17119400951,2.366456814690642e-06
127,17119401722,17119401722,5.916142036726606e-06
128,17119401722,17119401000,4.732913629381284e-06
129,17119401722,17119402400,2.366456814690642e-06
130,17119401722,17119401300,1.301551248079853e-05
131,17119401722,17119401721,1.301551248079853e-05
132,17119401722,17119402000,2.366456814690642e-06
133,17119401722,17119402701,2.366456814690642e-06
134,17119401722,17119402900,2.366456814690642e-06
135,17119401722,17119401903,1.1832284073453211e-05
136,17119401722,17163503304,2.366456814690642e-06
137,17119401722,17163502404,4.732913629381284e-06
138,17119401722,17119402721,2.366456814690642e-06
139,17119401722,17119401800,2.366456814690642e-06
140,17119401722,17119401200,2.366456814690642e-06
141,17119401722,17119403533,2.366456814690642e-06
142,17119401722,17119403001,2.4847796554251745e-05
143,17119401722,17119403002,2.366456814690642e-06
144,17119401722,17119402600,4.732913629381284e-06
145,17119401722,17119401901,2.366456814690642e-06
146,17119401722,17119402100,9.465827258762567e-06
147,17189950200,17189950200,2.74740041235146e-05
148,17189950200,17189950400,2.180476517739254e-06
149,17189950200,17189950300,1.787990744546188e-05
150,17189950200,17119403502,8.721906070957016e-07
151,17189950200,17027900602,1.7443812141914032e-06
152,17189950200,17163501604,1.3082859106435523e-06
153,17189950200,17163502404,8.721906070957016e-07
154,17189950200,17119404100,8.721906070957016e-07
155,17189950200,17163504302,1.7443812141914032e-06
156,17189950200,17163502603,8.721906070957016e-07
157,17189950200,17157950600,8.721906070957016e-07
158,17189950400,17189950400,2.180476517739254e-06
159,17189950400,17189950300,3.7940291408663014e-05
160,17189950400,17167002000,8.721906070957016e-07
161,17189950400,17027900100,8.721906070957016e-07
162,17189950400,17081050600,1.221066849933982e-05
163,17189950400,17081050500,2.6165718212871046e-06
164,17189950400,17157950500,8.721906070957016e-07
165,17189950300,17189950400,1.7443812141914032e-06
166,17189950300,17189950300,0.0001160013507437283
167,17189950300,17189950100,7.413620160313463e-06
168,17189950300,17029000300,8.721906070957016e-07
169,17189950300,17121952600,8.721906070957016e-07
170,17189950300,17121952700,1.7443812141914032e-06
171,17189950300,17027900500,8.721906070957016e-07
172,17189950300,17163502500,8.721906070957016e-07
173,17189950300,17081050600,3.0526671248349557e-06
174,17189950300,17081050500,1.7443812141914032e-06
175,17189950300,17081050400,8.721906070957016e-07
176,17189950100,17189950200,8.721906070957016e-07
177,17189950100,17189950300,1.787990744546188e-05
178,17189950100,17189950100,4.360953035478508e-06
179,17189950100,17029000400,8.721906070957016e-07
180,17189950100,17121952500,2.6165718212871046e-06
181,17189950100,17121952400,8.721906070957016e-07
182,17189950100,17031808100,8.721906070957016e-07
183,17189950100,17121952700,4.360953035478508e-06
184,17189950100,17121952300,8.721906070957016e-07
185,17189950100,17081050600,8.721906070957016e-07
186,17189950100,17081050500,3.4887624283828064e-06
187,17161024000,17161024000,2.6107572172398002e-05
188,17161024000,17143001600,2.270223667165044e-06
189,17161024000,17011965300,2.270223667165044e-06
190,17161024000,17031839100,2.270223667165044e-06
191,17161024000,17161024200,2.270223667165044e-06
192,17161024000,17161024102,4.540447334330087e-06
193,17161024000,17161022300,3.291824317389313e-05
194,17161024000,17161020200,5.335025617837851e-05
195,17161024000,17161020900,2.270223667165044e-06
196,17161024000,17031081500,2.270223667165044e-06
197,17161024000,17161022600,1.2486230169407738e-05
198,17161024000,17195001500,2.270223667165044e-06
199,17161024000,17161024300,3.8593802341805735e-05
200,17161024000,17131040400,2.270223667165044e-06
201,17161024000,17161020300,2.0432013004485388e-05
202,17161024000,17161020600,2.4972460338815475e-05
203,17161024000,17161023000,3.405335500747565e-06
204,17161024000,17161024500,4.540447334330087e-06
205,17161024000,17161023200,2.156712483806791e-05
206,17161024000,17161021300,9.080894668660174e-06
207,17161024000,17161021700,6.016092717987364e-05
208,17161024000,17161021900,1.1351118335825216e-05
209,17161024000,17161021100,1.2486230169407738e-05
210,17161024000,17161021200,4.540447334330087e-06
211,17161024000,17161022100,2.270223667165044e-06
212,17161024400,17161024400,7.945782835077652e-06
213,17161024400,17161020900,2.270223667165044e-06
214,17161024400,17161020100,6.470137451420372e-05
215,17161024400,17161022600,1.4756453836572781e-05
216,17161024400,17089854700,2.270223667165044e-06
217,17161024400,17161024300,2.156712483806791e-05
218,17161024400,17161022900,2.270223667165044e-06
219,17161024400,17161024500,5.675559167912609e-06
220,17161024400,17161023200,2.2702236671650435e-05
221,17161024400,17161023600,2.270223667165044e-06
222,17161024400,17161023700,4.540447334330087e-06
223,17161024400,17161021100,2.270223667165044e-06
224,17161024400,17161021200,2.270223667165044e-06
225,17119403401,17119400951,2.366456814690642e-06
226,17119403401,17119403401,5.916142036726606e-06
227,17119403401,17119403531,5.916142036726606e-06
228,17119403401,17119403402,4.732913629381284e-06
229,17119403401,17119400801,4.732913629381284e-06
230,17119403401,17199021000,2.366456814690642e-06
231,17119403401,17115001600,2.366456814690642e-06
232,17119403401,17119403502,2.366456814690642e-06
233,17119403401,17119403601,2.366456814690642e-06
234,17119403401,17119402400,2.366456814690642e-06
235,17119403401,17119403101,1.893165451752513e-05
236,17119403401,17119401300,5.916142036726606e-06
237,17119403401,17119402000,3.5496852220359634e-06
